BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.08020762,3.307145,0.1,0.1,1.0,1000.0,0.0034729146,0.00013545897,0.0058996173,0.002050518
0.6855392,9.673343,0.1,0.5,1.0,1000.0,0.029608361,0.00013530554,0.0020174741,0.0020503547
0.8971213,29.56771,0.1,1.0,1.0,1000.0,0.039201999,0.00013550895,0.00065779871,0.0020490598
0.06722306,3.945941,0.11,0.1,1.0,1000.0,0.0035131347,0.00019838739,0.0072532165,0.0030021541
0.6430728,10.31214,0.11,0.5,1.0,1000.0,0.033746082,0.00019811088,0.0027560535,0.0030019883
0.8781493,30.20651,0.11,1.0,1.0,1000.0,0.046349863,0.0001983925,0.00093887803,0.0029978812
0.05709911,4.645575,0.12,0.1,1.0,1000.0,0.0035462099,0.00028100475,0.0087037082,0.004251903
0.6022151,11.01177,0.12,0.5,1.0,1000.0,0.03766425,0.0002805844,0.0036702764,0.004251564
0.8582703,30.90614,0.12,1.0,1.0,1000.0,0.05394939,0.00028085848,0.00130320866,0.004244379
0.04906695,5.406047,0.13,0.1,1.0,1000.0,0.0035801529,0.00038697161,0.0103006331,0.005856378
0.5633128,11.77224,0.13,0.5,1.0,1000.0,0.041193545,0.00038645866,0.0047247567,0.005855924
0.837659,31.66661,0.13,1.0,1.0,1000.0,0.06170767,0.00038687118,0.0017508609,0.005845807
0.04259564,6.227357,0.14,0.1,1.0,1000.0,0.0036138575,0.00052051434,0.0120438674,0.007877086
0.5265754,12.59355,0.14,0.5,1.0,1000.0,0.044845279,0.00052023412,0.0059379254,0.007876516
0.8164826,32.48792,0.14,1.0,1.0,1000.0,0.0698021,0.00052033858,0.002295815,0.007862777
0.03731037,7.109504,0.15,0.1,1.0,1000.0,0.0036385459,0.00068505842,0.0138378304,0.010380268
0.4921047,13.4757,0.15,0.5,1.0,1000.0,0.048126148,0.00068551755,0.0072911239,0.010379643
0.7948987,33.37007,0.15,1.0,1.0,1000.0,0.07807871,0.00068564392,0.0029372491,0.010365495
0.03294115,8.052489,0.16,0.1,1.0,1000.0,0.0036488106,0.00088691903,0.015809999,0.013437375
0.459921,14.41869,0.16,0.5,1.0,1000.0,0.051184547,0.00088688802,0.0088445429,0.013436545
0.7730534,34.31305,0.16,1.0,1.0,1000.0,0.08638802,0.000888214,0.003696329,0.013417938
0.02928988,9.056311,0.17,0.1,1.0,1000.0,0.0036610624,0.0011301734,0.017879043,0.017125026
0.4299855,15.42251,0.17,0.5,1.0,1000.0,0.05396996,0.0011303878,0.0104963124,0.017123582
0.7510807,35.31688,0.17,1.0,1.0,1000.0,0.09457369,0.00113147097,0.0045589686,0.01709941
