BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.01,0.030726,0.01,0.003403,1.0,1000.0,4.3297893e-06,1.353869e-08,6.353038e-05,2.0484385e-07
0.1,0.033799,0.01,0.011288,1.0,1000.0,4.336242e-05,1.353869e-08,5.7807161e-05,2.0484385e-07
0.2,0.038024,0.01,0.016932,1.0,1000.0,8.642885e-05,1.353869e-08,5.1310479e-05,2.0484385e-07
0.3,0.043456,0.01,0.022169,1.0,1000.0,0.00012954021,1.353869e-08,4.4937276e-05,2.0484385e-07
0.4,0.050698,0.01,0.02765,1.0,1000.0,0.00017288422,1.353869e-08,3.868819e-05,2.0484385e-07
0.5,0.060838,0.01,0.033864,1.0,1000.0,0.0002157569,1.353869e-08,3.1949401e-05,2.0484385e-07
0.6,0.076047,0.01,0.041475,1.0,1000.0,0.00025927883,1.353858e-08,2.5666085e-05,2.0484385e-07
0.7,0.101396,0.01,0.051728,1.0,1000.0,0.00030206237,1.353858e-08,1.9256508e-05,2.0484385e-07
0.8,0.152094,0.01,0.067728,1.0,1000.0,0.00034591552,1.354148e-08,1.28346428e-05,2.0484385e-07
0.9,0.304188,0.01,0.101592,1.0,1000.0,0.00038892627,1.3541485e-08,6.4502961e-06,2.0484385e-07
0.01,0.122904,0.02,0.006807,1.0,1000.0,1.7268112e-05,2.166655e-07,0.00025431295,3.2775075e-06
0.1,0.135195,0.02,0.022576,1.0,1000.0,0.00017286036,2.166655e-07,0.00023157868,3.2775075e-06
0.2,0.152094,0.02,0.033864,1.0,1000.0,0.00034591552,2.166655e-07,0.00020535173,3.2775075e-06
0.3,0.173822,0.02,0.044338,1.0,1000.0,0.0005180804,2.166655e-07,0.00017919508,3.2775075e-06
0.4,0.202792,0.02,0.0553,1.0,1000.0,0.000694067,2.166655e-07,0.000153747367,3.2775075e-06
0.5,0.243351,0.02,0.067728,1.0,1000.0,0.0008654343,2.1666559e-07,0.000128531465,3.2775075e-06
0.6,0.304189,0.02,0.082949,1.0,1000.0,0.0010371628,2.1666549e-07,0.000103204668,3.2775075e-06
0.7,0.405585,0.02,0.103456,1.0,1000.0,0.0012133934,2.1666549e-07,7.7152657e-05,3.2775075e-06
0.8,0.608377,0.02,0.135456,1.0,1000.0,0.0013777395,2.1672539e-07,5.1402618e-05,3.2775075e-06
0.9,1.216755,0.02,0.203183,1.0,1000.0,0.0015579582,2.167171e-07,2.5799675e-05,3.2775074e-06
0.01,0.276535,0.03,0.01021,1.0,1000.0,3.906336e-05,1.09686275e-06,0.0005713163,1.6592221e-05
0.1,0.304189,0.03,0.033864,1.0,1000.0,0.00038892626,1.09686275e-06,0.00052233794,1.6592221e-05
0.2,0.342212,0.03,0.050796,1.0,1000.0,0.0007801486,1.09686275e-06,0.00046346069,1.6592221e-05
0.3,0.3911,0.03,0.066507,1.0,1000.0,0.0011717261,1.09686275e-06,0.00040626199,1.6592221e-05
0.4,0.456283,0.03,0.082949,1.0,1000.0,0.0015559637,1.09715675e-06,0.00034806854,1.6592221e-05
0.5,0.547539,0.03,0.101592,1.0,1000.0,0.0019417859,1.09715677e-06,0.0002892781,1.6592221e-05
0.6,0.684424,0.03,0.124424,1.0,1000.0,0.0023325042,1.09715675e-06,0.00023162915,1.6592221e-05
