BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.08020762,0.03307145,0.01,0.01,1.0,1000.0,3.4694992e-05,1.353869e-08,5.9007869e-05,2.0484385e-07
0.9721299,1.091452,0.01,0.2,1.0,1000.0,0.00042126623,1.3544755e-08,1.7913243e-06,2.0484384e-07
0.9928837,4.274551,0.01,0.4,1.0,1000.0,0.00042928863,1.3550066e-08,4.5624256e-07,2.0505178e-07
0.9968247,9.579715,0.01,0.6,1.0,1000.0,0.00043152778,1.3530844e-08,2.0324185e-07,2.0503547e-07
0.9982114,17.00695,0.01,0.8,1.0,1000.0,0.00043295359,1.3538182e-08,1.14322821e-07,2.0501581e-07
0.9988545,26.55624,0.01,1.0,1.0,1000.0,0.00043378549,1.3551017e-08,7.2735183e-08,2.0493653e-07
0.9992043,38.22761,0.01,1.2,1.0,1000.0,0.00043717672,1.35313e-08,5.0501266e-08,2.0470692e-07
0.9994153,52.02103,0.01,1.4,1.0,1000.0,0.00043769726,1.354216e-08,3.6774134e-08,2.0450608e-07
0.9995522,67.93653,0.01,1.6,1.0,1000.0,0.00043622293,1.3499594e-08,2.8075046e-08,2.0471668e-07
0.9996462,85.97409,0.01,1.8,1.0,1000.0,0.0004376977,1.3484934e-08,2.2097771e-08,2.0390838e-07
0.9997134,106.1337,0.01,2.0,1.0,1000.0,0.000437204,1.3417617e-08,1.8053497e-08,2.0365742e-07
0.9997631,128.4154,0.01,2.2,1.0,1000.0,0.000439709,1.3459135e-08,1.4782857e-08,2.0264221e-07
0.9998009,152.8192,0.01,2.4,1.0,1000.0,0.0004387798,1.3315029e-08,1.22304701e-08,2.0172375e-07
0.9998304,179.345,0.01,2.6,1.0,1000.0,0.0004376656,1.3288158e-08,1.0324944e-08,2.0097869e-07
0.9998538,207.9929,0.01,2.8,1.0,1000.0,0.0004368252,1.3142018e-08,8.816709e-09,1.99661e-07
0.9998726,238.7628,0.01,3.0,1.0,1000.0,0.0004338275,1.3058818e-08,7.5336402e-09,1.981335e-07
0.0002179572,12.1702,0.2,0.01,1.0,1000.0,3.7835859e-05,0.0021662131,0.025568362,0.032805285
0.08020762,13.22858,0.2,0.2,1.0,1000.0,0.013941861,0.0021666875,0.023495869,0.032804868
0.2586044,16.41168,0.2,0.4,1.0,1000.0,0.045094482,0.0021658029,0.018978761,0.03280322
0.4397184,21.71684,0.2,0.6,1.0,1000.0,0.07680883,0.0021671945,0.0142554815,0.032776921
0.5825036,29.14407,0.2,0.8,1.0,1000.0,0.10132567,0.0021696381,0.0106278193,0.032755829
0.6855392,38.69337,0.2,1.0,1.0,1000.0,0.1198722,0.0021638828,0.0080145334,0.032752766
0.7584114,50.36473,0.2,1.2,1.0,1000.0,0.13290161,0.0021637001,0.0060756704,0.032731959
0.8103507,64.15816,0.2,1.4,1.0,1000.0,0.14138492,0.0021619527,0.0047914948,0.032696999
0.8480456,80.07366,0.2,1.6,1.0,1000.0,0.14827773,0.0021620754,0.0037898176,0.032662752
0.8759821,98.11122,0.2,1.8,1.0,1000.0,0.15218714,0.0021493089,0.0030770407,0.032606611
0.8971213,118.2708,0.2,2.0,1.0,1000.0,0.15792371,0.0021485148,0.0025807316,0.032438629
0.9134306,140.5525,0.2,2.2,1.0,1000.0,0.16059155,0.0021386738,0.0021428447,0.032411124
0.9262377,164.9563,0.2,2.4,1.0,1000.0,0.16190515,0.0021308247,0.0018051071,0.032290478
0.936456,191.4821,0.2,2.6,1.0,1000.0,0.16344102,0.0021136589,0.0015368806,0.032090848
0.9447256,220.13,0.2,2.8,1.0,1000.0,0.16421351,0.0020966779,0.0013214801,0.031875891
0.9515044,250.9,0.2,3.0,1.0,1000.0,0.16480178,0.0020790384,0.00114201986,0.031669078
5.44982e-05,48.67284,0.4,0.01,1.0,1000.0,3.8088158e-05,0.034629222,0.101078778,0.5237596
0.02133535,49.73122,0.4,0.2,1.0,1000.0,0.014959186,0.034618374,0.09852742,0.5237288
0.08020762,52.91432,0.4,0.4,1.0,1000.0,0.0559773,0.034644453,0.092708583,0.5235391
0.1640223,58.21949,0.4,0.6,1.0,1000.0,0.11505375,0.034638533,0.084249853,0.5234254
0.2586044,65.64672,0.4,0.8,1.0,1000.0,0.1807746,0.034580845,0.074334642,0.5241654
0.3527557,75.19601,0.4,1.0,1.0,1000.0,0.24687535,0.034634284,0.064389605,0.5236243
0.4397184,86.86738,0.4,1.2,1.0,1000.0,0.30708898,0.034555328,0.055741282,0.5219239
0.5164931,100.6608,0.4,1.4,1.0,1000.0,0.35991366,0.03437287,0.048734294,0.521405
0.5825036,116.5763,0.4,1.6,1.0,1000.0,0.4080135,0.034410181,0.041757413,0.5190008
0.6384459,134.6139,0.4,1.8,1.0,1000.0,0.4477336,0.034304083,0.035856025,0.5182812
0.6855392,154.7735,0.4,2.0,1.0,1000.0,0.4799871,0.034110321,0.030909999,0.5169756
0.7251129,177.0552,0.4,2.2,1.0,1000.0,0.5082996,0.034018764,0.026783229,0.5146332
0.7584114,201.4589,0.4,2.4,1.0,1000.0,0.5299454,0.03373075,0.023275987,0.5120385
0.78652,227.9848,0.4,2.6,1.0,1000.0,0.5467277,0.033428114,0.020273623,0.5096055
0.8103507,256.6326,0.4,2.8,1.0,1000.0,0.560583,0.033290372,0.017793604,0.5063591
0.830655,287.4026,0.4,3.0,1.0,1000.0,0.571335,0.032882961,0.015691579,0.5022075
2.422216e-05,109.5106,0.6,0.01,1.0,1000.0,3.8206159e-05,0.1743629,0.22544979,2.6362916
0.009596119,110.569,0.6,0.2,1.0,1000.0,0.01509094,0.17421038,0.22361304,2.635913
0.03731037,113.7521,0.6,0.4,1.0,1000.0,0.0589954,0.17423432,0.21725795,2.6304357
0.08020762,119.0572,0.6,0.6,1.0,1000.0,0.1266734,0.17400324,0.2069272,2.6262855
0.1342183,126.4845,0.6,0.8,1.0,1000.0,0.21228201,0.17431959,0.19419686,2.626229
0.1949944,136.0338,0.6,1.0,1.0,1000.0,0.30884913,0.17350192,0.17960875,2.625128
0.2586044,147.7051,0.6,1.2,1.0,1000.0,0.408004,0.17298712,0.16489117,2.6174428
0.3219262,161.4985,0.6,1.4,1.0,1000.0,0.5075896,0.17251411,0.14975512,2.6168524
0.382755,177.414,0.6,1.6,1.0,1000.0,0.602539,0.1722501,0.13552184,2.6083614
0.4397184,195.4516,0.6,1.8,1.0,1000.0,0.69023,0.17080389,0.12188575,2.5968309
0.4921047,215.6112,0.6,2.0,1.0,1000.0,0.7717925,0.16981656,0.109347774,2.588014
0.5396755,237.8929,0.6,2.2,1.0,1000.0,0.8438642,0.16927418,0.098062164,2.569249
0.5825036,262.2967,0.6,2.4,1.0,1000.0,0.9047888,0.16768618,0.088007496,2.5603107
0.620847,288.8225,0.6,2.6,1.0,1000.0,0.9597664,0.16646733,0.078799596,2.5392913
0.655061,317.4704,0.6,2.8,1.0,1000.0,1.0063976,0.16471883,0.070481662,2.5146513
0.6855392,348.2403,0.6,3.0,1.0,1000.0,1.0436919,0.16286531,0.063182843,2.484627
1.362511e-05,194.6834,0.8,0.01,1.0,1000.0,3.803818e-05,0.54035374,0.38742178,8.20905
0.005420574,195.7418,0.8,0.2,1.0,1000.0,0.015116531,0.53995629,0.38414389,8.206787
0.02133535,198.9249,0.8,0.4,1.0,1000.0,0.05961013,0.54056033,0.3767468,8.195505
0.04675755,204.2301,0.8,0.6,1.0,1000.0,0.13063478,0.53876985,0.36659896,8.18841
0.08020762,211.6573,0.8,0.8,1.0,1000.0,0.22335961,0.53767877,0.35364949,8.183225
0.1199143,221.2066,0.8,1.0,1.0,1000.0,0.33325724,0.5366293,0.33552972,8.14804
0.1640223,232.8779,0.8,1.2,1.0,1000.0,0.4558899,0.53466535,0.31713191,8.150971
0.2107687,246.6714,0.8,1.4,1.0,1000.0,0.5844053,0.53404249,0.29740101,8.106218
0.2586044,262.5869,0.8,1.6,1.0,1000.0,0.713032,0.52978034,0.27836218,8.091179
0.3062587,280.6244,0.8,1.8,1.0,1000.0,0.8432328,0.52687027,0.25680641,8.043428
0.3527557,300.7841,0.8,2.0,1.0,1000.0,0.9654313,0.52505779,0.23756802,7.973043
0.3973959,323.0657,0.8,2.2,1.0,1000.0,1.0859734,0.51962828,0.21837911,7.94559
0.4397184,347.4695,0.8,2.4,1.0,1000.0,1.1910661,0.5151395,0.19973092,7.852136
0.4794567,373.9953,0.8,2.6,1.0,1000.0,1.2924816,0.5078892,0.18300504,7.810854
0.5164931,402.6432,0.8,2.8,1.0,1000.0,1.3772323,0.50273397,0.16727512,7.717217
0.5508195,433.4132,0.8,3.0,1.0,1000.0,1.4607966,0.49443006,0.15305252,7.604752
8.720111e-06,304.1913,1.0,0.01,1.0,1000.0,3.726204e-05,1.2786386,0.57107567,19.45691
0.003475951,305.2497,1.0,0.2,1.0,1000.0,0.014901274,1.2779081,0.56815133,19.446132
0.01376031,308.4328,1.0,0.4,1.0,1000.0,0.05890137,1.27659508,0.56201321,19.482483
0.03043717,313.738,1.0,0.6,1.0,1000.0,0.1301641,1.2732768,0.54975985,19.458861
0.05285917,321.1652,1.0,0.8,1.0,1000.0,0.22527149,1.2715531,0.53537138,19.381138
0.08020762,330.7145,1.0,1.0,1.0,1000.0,0.3411659,1.26777404,0.51897884,19.339952
0.1115618,342.3859,1.0,1.2,1.0,1000.0,0.4729493,1.25777506,0.49680516,19.211527
0.1459675,356.1793,1.0,1.4,1.0,1000.0,0.6168472,1.25163346,0.47547076,19.122279
0.1824968,372.0948,1.0,1.6,1.0,1000.0,0.7667584,1.2415811,0.45129255,19.044666
0.2202936,390.1324,1.0,1.8,1.0,1000.0,0.9231106,1.23125477,0.42556385,18.934968
0.2586044,410.292,1.0,2.0,1.0,1000.0,1.0812139,1.22378344,0.39927422,18.750088
0.2967933,432.5737,1.0,2.2,1.0,1000.0,1.2303004,1.20910643,0.37468665,18.591863
0.3343464,456.9774,1.0,2.4,1.0,1000.0,1.3734132,1.19398401,0.34984462,18.411653
0.3708653,483.5033,1.0,2.6,1.0,1000.0,1.5060409,1.18019123,0.32586822,18.148085
0.4060568,512.1511,1.0,2.8,1.0,1000.0,1.6303614,1.16339742,0.30113978,17.91295
0.4397184,542.9211,1.0,3.0,1.0,1000.0,1.74853,1.13814175,0.28030797,17.675237
6.055649e-06,438.0344,1.2,0.01,1.0,1000.0,3.608907e-05,2.4940092,0.76698874,38.389336
0.002416421,439.0927,1.2,0.2,1.0,1000.0,0.014385836,2.4945162,0.76208415,38.375246
0.009596119,442.2758,1.2,0.4,1.0,1000.0,0.05712031,2.487976,0.75693707,38.268261
0.02133535,447.581,1.2,0.6,1.0,1000.0,0.1265265,2.4844523,0.7466721,38.297385
0.03731037,455.0082,1.2,0.8,1.0,1000.0,0.22044622,2.4763059,0.72843398,38.182276
0.05709911,464.5575,1.2,1.0,1.0,1000.0,0.3366666,2.4670964,0.71011702,38.053826
0.08020762,476.2289,1.2,1.2,1.0,1000.0,0.4709214,2.4537203,0.68725054,37.740162
0.1060985,490.0223,1.2,1.4,1.0,1000.0,0.6175418,2.4400483,0.66242476,37.517085
0.1342183,505.9378,1.2,1.6,1.0,1000.0,0.7779174,2.4083317,0.63575916,37.291878
0.1640223,523.9754,1.2,1.8,1.0,1000.0,0.9453227,2.3892383,0.6075714,36.929094
0.1949944,544.135,1.2,2.0,1.0,1000.0,1.1157732,2.3630784,0.57970088,36.606228
0.2266617,566.4167,1.2,2.2,1.0,1000.0,1.2880268,2.3339873,0.54914185,36.15846
0.2586044,590.8205,1.2,2.4,1.0,1000.0,1.4508163,2.2992904,0.51862177,35.636106
0.2904603,617.3463,1.2,2.6,1.0,1000.0,1.6153317,2.2602972,0.48937741,35.11368
