BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.897121,0.295677,0.01,0.1,1.0,1000.0,0.00038877061,1.3541485e-08,6.6205794e-06,2.0484385e-07
0.995434,6.661875,0.01,0.5,1.0,1000.0,0.00043178616,1.3531684e-08,2.9216829e-07,2.0504571e-07
0.998855,26.556243,0.01,1.0,1.0,1000.0,0.00043378549,1.3551017e-08,7.2735183e-08,2.0493653e-07
0.999491,59.713523,0.01,1.5,1.0,1000.0,0.00043656058,1.3521615e-08,3.2051035e-08,2.0439417e-07
0.685539,0.386934,0.02,0.1,1.0,1000.0,0.0011862333,2.1666549e-07,8.0907153e-05,3.2775075e-06
0.981982,6.753131,0.02,0.5,1.0,1000.0,0.0017082501,2.1651603e-07,4.641506e-06,3.2807453e-06
0.995434,26.647499,0.02,1.0,1.0,1000.0,0.0017293698,2.1682298e-07,1.16272847e-06,3.2789803e-06
0.997965,59.804779,0.02,1.5,1.0,1000.0,0.0017449429,2.1633213e-07,5.101669e-07,3.2702941e-06
0.492105,0.539028,0.03,0.1,1.0,1000.0,0.0019140072,1.09715677e-06,0.00029339588,1.6592221e-05
0.960353,6.905226,0.03,0.5,1.0,1000.0,0.0037541397,1.09622289e-06,2.2837324e-05,1.6608509e-05
0.989785,26.799594,0.03,1.0,1.0,1000.0,0.0038646537,1.09827578e-06,5.8803993e-06,1.6599632e-05
0.995434,59.956873,0.03,1.5,1.0,1000.0,0.0039215458,1.09520613e-06,2.5843302e-06,1.6557187e-05
0.352756,0.75196,0.04,0.1,1.0,1000.0,0.0024420218,3.4674857e-06,0.00066681186,5.244012e-05
0.931625,7.118158,0.04,0.5,1.0,1000.0,0.006459792,3.4641767e-06,6.9910383e-05,5.249158e-05
0.981982,27.012526,0.04,1.0,1.0,1000.0,0.006859601,3.4710686e-06,1.8424335e-05,5.24432e-05
0.991911,60.169806,0.04,1.5,1.0,1000.0,0.006937277,3.4637732e-06,8.141089e-06,5.232314e-05
0.258604,1.02573,0.05,0.1,1.0,1000.0,0.0027990252,8.4655195e-06,0.00119121221,0.00012802427
0.897121,7.391928,0.05,0.5,1.0,1000.0,0.009736917,8.4574689e-06,0.00016490369,0.00012814917
0.97213,27.286296,0.05,1.0,1.0,1000.0,0.010551114,8.4741931e-06,4.4621826e-05,0.00012803477
0.987418,60.443575,0.05,1.5,1.0,1000.0,0.010764131,8.4605606e-06,1.9756945e-05,0.00012775219
0.194994,1.360338,0.06,0.1,1.0,1000.0,0.0030357847,1.7554041e-05,0.0018699361,0.00026547815
0.85827,7.726535,0.06,0.5,1.0,1000.0,0.013386045,1.7537559e-05,0.00032768536,0.00026573881
0.960353,27.620903,0.06,1.0,1.0,1000.0,0.015050249,1.7572357e-05,9.1352307e-05,0.00026533793
0.981982,60.778183,0.06,1.5,1.0,1000.0,0.015436219,1.7537197e-05,4.0851398e-05,0.00026489921
0.151077,1.755783,0.07,0.1,1.0,1000.0,0.0032046391,3.2520826e-05,0.0026700086,0.0004918293
0.816483,8.121981,0.07,0.5,1.0,1000.0,0.017335005,3.249339e-05,0.0005769064,0.0004923015
0.946798,28.016348,0.07,1.0,1.0,1000.0,0.02022175,3.253566e-05,0.00016642751,0.000491843
0.975635,61.173628,0.07,1.5,1.0,1000.0,0.020851316,3.2492322e-05,7.5048868e-05,0.0004907506
0.119914,2.212066,0.08,0.1,1.0,1000.0,0.0033275327,5.5479752e-05,0.0036246723,0.0008390387
0.773053,8.578264,0.08,0.5,1.0,1000.0,0.021481782,5.5432423e-05,0.0009296754,0.0008398394
0.931625,28.472631,0.08,1.0,1.0,1000.0,0.025939537,5.5503713e-05,0.00027803354,0.0008390509
