BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.2586044,1.02573,0.05,0.1,1.0,1000.0,0.0027990252,8.4655195e-06,0.00119121221,0.00012802427
0.8971213,7.391928,0.05,0.5,1.0,1000.0,0.009736917,8.4574689e-06,0.00016490369,0.00012814917
0.9721299,27.2863,0.05,1.0,1.0,1000.0,0.010551114,8.4741931e-06,4.4621826e-05,0.00012803477
0.2237656,1.185429,0.055,0.1,1.0,1000.0,0.0029366088,1.23942805e-05,0.00151024618,0.00018744367
0.8781493,7.551627,0.055,0.5,1.0,1000.0,0.011523189,1.23824314e-05,0.00023624833,0.0001876255
0.9664734,27.44599,0.055,1.0,1.0,1000.0,0.012741394,1.24073138e-05,6.4608003e-05,0.00018734842
0.1949944,1.360338,0.06,0.1,1.0,1000.0,0.0030357847,1.7554041e-05,0.0018699361,0.00026547815
0.8582703,7.726535,0.06,0.5,1.0,1000.0,0.013386045,1.7537559e-05,0.00032768536,0.00026573881
0.9603532,27.6209,0.06,1.0,1.0,1000.0,0.015050249,1.7572357e-05,9.1352307e-05,0.00026533793
0.1710841,1.550455,0.065,0.1,1.0,1000.0,0.0031328419,2.4178446e-05,0.0022474408,0.00036565894
0.837659,7.916653,0.065,0.5,1.0,1000.0,0.015357193,2.4157886e-05,0.00044074186,0.00036601046
0.9537882,27.81102,0.065,1.0,1.0,1000.0,0.017512936,2.4197188e-05,0.000124672284,0.00036567147
0.1510769,1.755783,0.07,0.1,1.0,1000.0,0.0032046391,3.2520826e-05,0.0026700086,0.0004918293
0.8164826,8.121981,0.07,0.5,1.0,1000.0,0.017335005,3.249339e-05,0.0005769064,0.0004923015
0.946798,28.01635,0.07,1.0,1.0,1000.0,0.02022175,3.253566e-05,0.00016642751,0.000491843
0.1342183,1.97632,0.075,0.1,1.0,1000.0,0.0032749115,4.2856524e-05,0.003140553,0.0006481384
0.7948987,8.342517,0.075,0.5,1.0,1000.0,0.019433011,4.2820343e-05,0.00073785057,0.0006487577
0.9394033,28.23689,0.075,1.0,1.0,1000.0,0.022963634,4.2876281e-05,0.00021774855,0.0006481512
0.1199143,2.212066,0.08,0.1,1.0,1000.0,0.0033275327,5.5479752e-05,0.0036246723,0.0008390387
0.7730534,8.578264,0.08,0.5,1.0,1000.0,0.021481782,5.5432423e-05,0.0009296754,0.0008398394
