BR,G_tot,a_r,g,mDM,mV,xsection_monotop,xsection_offshellV,xsection_onshellV,xsection_tt_exclusive
0.08020762,0.03307145,0.01,0.01,1.0,1000.0,3.4694992e-05,1.353869e-08,5.9007869e-05,2.0484385e-07
0.9721299,1.091452,0.01,0.2,1.0,1000.0,0.00042126623,1.3544755e-08,1.7913243e-06,2.0484384e-07
0.9928837,4.274551,0.01,0.4,1.0,1000.0,0.00042928863,1.3550066e-08,4.5624256e-07,2.0505178e-07
0.9968247,9.579715,0.01,0.6,1.0,1000.0,0.00043152778,1.3530844e-08,2.0324185e-07,2.0503547e-07
0.9982114,17.00695,0.01,0.8,1.0,1000.0,0.00043295359,1.3538182e-08,1.14322821e-07,2.0501581e-07
0.9988545,26.55624,0.01,1.0,1.0,1000.0,0.00043378549,1.3551017e-08,7.2735183e-08,2.0493653e-07
0.9992043,38.22761,0.01,1.2,1.0,1000.0,0.00043717672,1.35313e-08,5.0501266e-08,2.0470692e-07
0.9994153,52.02103,0.01,1.4,1.0,1000.0,0.00043769726,1.354216e-08,3.6774134e-08,2.0450608e-07
0.9995522,67.93653,0.01,1.6,1.0,1000.0,0.00043622293,1.3499594e-08,2.8075046e-08,2.0471668e-07
0.9996462,85.97409,0.01,1.8,1.0,1000.0,0.0004376977,1.3484934e-08,2.2097771e-08,2.0390838e-07
0.9997134,106.1337,0.01,2.0,1.0,1000.0,0.000437204,1.3417617e-08,1.8053497e-08,2.0365742e-07
0.9997631,128.4154,0.01,2.2,1.0,1000.0,0.000439709,1.3459135e-08,1.4782857e-08,2.0264221e-07
0.9998009,152.8192,0.01,2.4,1.0,1000.0,0.0004387798,1.3315029e-08,1.22304701e-08,2.0172375e-07
0.9998304,179.345,0.01,2.6,1.0,1000.0,0.0004376656,1.3288158e-08,1.0324944e-08,2.0097869e-07
0.9998538,207.9929,0.01,2.8,1.0,1000.0,0.0004368252,1.3142018e-08,8.816709e-09,1.99661e-07
0.9998726,238.7628,0.01,3.0,1.0,1000.0,0.0004338275,1.3058818e-08,7.5336402e-09,1.981335e-07
0.02133535,0.1243281,0.02,0.01,1.0,1000.0,3.6906242e-05,2.166655e-07,0.00025106357,3.2775075e-06
0.8971213,1.182708,0.02,0.2,1.0,1000.0,0.0015522286,2.167171e-07,2.6401545e-05,3.2775075e-06
0.9721299,4.365807,0.02,0.4,1.0,1000.0,0.0016816158,2.168234e-07,7.1354854e-06,3.2808066e-06
0.9874185,9.670972,0.02,0.6,1.0,1000.0,0.0017048501,2.1650207e-07,3.2222596e-06,3.2806413e-06
0.9928837,17.0982,0.02,0.8,1.0,1000.0,0.0017255518,2.1660627e-07,1.8208972e-06,3.2802607e-06
0.9954339,26.6475,0.02,1.0,1.0,1000.0,0.0017293698,2.1682298e-07,1.16272847e-06,3.2789803e-06
0.9968247,38.31886,0.02,1.2,1.0,1000.0,0.0017465866,2.1642402e-07,8.0704937e-07,3.2753183e-06
0.9976651,52.11229,0.02,1.4,1.0,1000.0,0.0017490329,2.1665534e-07,5.8753144e-07,3.2723467e-06
0.9982114,68.02778,0.02,1.6,1.0,1000.0,0.0017397557,2.1598501e-07,4.4789833e-07,3.2754621e-06
0.9985862,86.06534,0.02,1.8,1.0,1000.0,0.0017458278,2.159996e-07,3.5230152e-07,3.2624714e-06
0.9988545,106.225,0.02,2.0,1.0,1000.0,0.0017493869,2.1488772e-07,2.8712196e-07,3.2584762e-06
0.9990532,128.5067,0.02,2.2,1.0,1000.0,0.0017550642,2.156469e-07,2.360951e-07,3.2413702e-06
0.9992043,152.9104,0.02,2.4,1.0,1000.0,0.0017509354,2.132666e-07,1.958096e-07,3.2282145e-06
0.9993219,179.4362,0.02,2.6,1.0,1000.0,0.0017501303,2.1262911e-07,1.652854e-07,3.215613e-06
0.9994153,208.0841,0.02,2.8,1.0,1000.0,0.0017451443,2.1020193e-07,1.4070518e-07,3.1945001e-06
0.9994906,238.8541,0.02,3.0,1.0,1000.0,0.0017353868,2.0893726e-07,1.2056868e-07,3.1701221e-06
0.009596119,0.2764224,0.03,0.01,1.0,1000.0,3.7487488e-05,1.09686275e-06,0.00057222507,1.6592221e-05
0.7948987,1.334803,0.03,0.2,1.0,1000.0,0.0031019573,1.09713165e-06,0.00011842881,1.6592221e-05
0.9394033,4.517902,0.03,0.4,1.0,1000.0,0.0036579108,1.09766768e-06,3.5034229e-05,1.6608917e-05
0.9721299,9.823066,0.03,0.6,1.0,1000.0,0.0037887489,1.09605056e-06,1.6143374e-05,1.6607991e-05
0.9841296,17.2503,0.03,0.8,1.0,1000.0,0.0038364977,1.09664245e-06,9.1234198e-06,1.6606136e-05
0.9897846,26.79959,0.03,1.0,1.0,1000.0,0.0038646537,1.09827578e-06,5.8803993e-06,1.6599632e-05
0.9928837,38.47096,0.03,1.2,1.0,1000.0,0.0039104127,1.09554168e-06,4.0596545e-06,1.6581016e-05
0.9947618,52.26438,0.03,1.4,1.0,1000.0,0.0039196754,1.09633671e-06,2.9678566e-06,1.6566107e-05
0.9959846,68.17988,0.03,1.6,1.0,1000.0,0.0039180777,1.09346035e-06,2.2596219e-06,1.6581824e-05
0.9968247,86.21744,0.03,1.8,1.0,1000.0,0.0039272683,1.09347603e-06,1.780574e-06,1.6513906e-05
0.9974264,106.3771,0.03,2.0,1.0,1000.0,0.0039213284,1.0877385e-06,1.4490214e-06,1.6496814e-05
0.9978721,128.6588,0.03,2.2,1.0,1000.0,0.0039484742,1.09177899e-06,1.196165e-06,1.6407628e-05
0.9982114,153.0625,0.03,2.4,1.0,1000.0,0.003940639,1.07961999e-06,9.9105824e-07,1.6338825e-05
0.9984756,179.5883,0.03,2.6,1.0,1000.0,0.003937956,1.07647577e-06,8.3652503e-07,1.6278637e-05
0.9986853,208.2362,0.03,2.8,1.0,1000.0,0.003928781,1.06544674e-06,7.1275096e-07,1.6165938e-05
0.9988545,239.0062,0.03,3.0,1.0,1000.0,0.003902482,1.0580976e-06,6.0897609e-07,1.6047649e-05
0.005420574,0.4893545,0.04,0.01,1.0,1000.0,3.7587683e-05,3.4675716e-06,0.00102367319,5.244012e-05
0.6855392,1.547735,0.04,0.2,1.0,1000.0,0.0047481636,3.4674747e-06,0.00032374939,5.244002e-05
0.8971213,4.730834,0.04,0.4,1.0,1000.0,0.006204685,3.4691877e-06,0.000105480552,5.249261e-05
0.9515044,10.036,0.04,0.6,1.0,1000.0,0.006590516,3.4639942e-06,4.9723617e-05,5.249021e-05
0.9721299,17.46323,0.04,0.8,1.0,1000.0,0.006759245,3.4661817e-06,2.8540448e-05,5.248395e-05
0.9819824,27.01253,0.04,1.0,1.0,1000.0,0.006859601,3.4710686e-06,1.8424335e-05,5.24432e-05
0.9874185,38.68389,0.04,1.2,1.0,1000.0,0.006919808,3.4622346e-06,1.28488582e-05,5.240403e-05
0.9907255,52.47732,0.04,1.4,1.0,1000.0,0.006919558,3.4647932e-06,9.34116e-06,5.235202e-05
0.9928837,68.39281,0.04,1.6,1.0,1000.0,0.006941423,3.4558295e-06,7.1320976e-06,5.240577e-05
0.9943689,86.43037,0.04,1.8,1.0,1000.0,0.006969956,3.4557637e-06,5.5955884e-06,5.223258e-05
0.9954339,106.59,0.04,2.0,1.0,1000.0,0.006972809,3.4359036e-06,4.5925054e-06,5.213314e-05
0.9962234,128.8717,0.04,2.2,1.0,1000.0,0.006995487,3.4500879e-06,3.7753654e-06,5.187948e-05
0.9968247,153.2754,0.04,2.4,1.0,1000.0,0.006976878,3.4116097e-06,3.1273095e-06,5.163866e-05
0.9972931,179.8013,0.04,2.6,1.0,1000.0,0.00698954,3.4055849e-06,2.6412898e-06,5.144636e-05
0.9976651,208.4492,0.04,2.8,1.0,1000.0,0.006970121,3.3648142e-06,2.2494699e-06,5.110767e-05
0.9979655,239.2191,0.04,3.0,1.0,1000.0,0.006931024,3.3439245e-06,1.9244672e-06,5.071558e-05
0.003475951,0.7631243,0.05,0.01,1.0,1000.0,3.7544895e-05,8.4655205e-06,0.00159483,0.00012802427
0.5825036,1.821505,0.05,0.2,1.0,1000.0,0.006312143,8.4654754e-06,0.00066997788,0.00012802427
0.8480456,5.004604,0.05,0.4,1.0,1000.0,0.009169078,8.4696762e-06,0.00024289099,0.00012815223
0.9262377,10.30977,0.05,0.6,1.0,1000.0,0.010040805,8.4570134e-06,0.000117741272,0.00012814802
0.9571251,17.737,0.05,0.8,1.0,1000.0,0.010410508,8.462309e-06,6.8345783e-05,0.00012812259
0.9721299,27.2863,0.05,1.0,1.0,1000.0,0.010551114,8.4741931e-06,4.4621826e-05,0.00012803477
0.9804795,38.95766,0.05,1.2,1.0,1000.0,0.010715064,8.4497934e-06,3.0964238e-05,0.00012788309
0.9855838,52.75109,0.05,1.4,1.0,1000.0,0.010766854,8.4594436e-06,2.2755301e-05,0.00012782565
0.9889252,68.66658,0.05,1.6,1.0,1000.0,0.010792312,8.4365031e-06,1.7298642e-05,0.00012794135
0.9912291,86.70414,0.05,1.8,1.0,1000.0,0.010838714,8.4366033e-06,1.36227846e-05,0.00012742322
0.9928837,106.8638,0.05,2.0,1.0,1000.0,0.01083377,8.3880456e-06,1.11666558e-05,0.00012727532
0.9941115,129.1455,0.05,2.2,1.0,1000.0,0.010899593,8.4219482e-06,9.1868313e-06,0.00012665774
0.9950474,153.5492,0.05,2.4,1.0,1000.0,0.010896645,8.3318634e-06,7.6153992e-06,0.00012624002
0.9957769,180.075,0.05,2.6,1.0,1000.0,0.010887904,8.3137918e-06,6.4356098e-06,0.00012559368
0.9963565,208.7229,0.05,2.8,1.0,1000.0,0.010882358,8.2190179e-06,5.4812828e-06,0.00012476767
0.9968247,239.4929,0.05,3.0,1.0,1000.0,0.010814824,8.1566143e-06,4.6819761e-06,0.00012385014
0.002416421,1.097732,0.06,0.01,1.0,1000.0,3.7675492e-05,1.7554051e-05,0.0023037346,0.00026547815
0.4921047,2.156112,0.06,0.2,1.0,1000.0,0.007683834,1.7553966e-05,0.00117509387,0.00026547714
0.7948987,5.339211,0.06,0.4,1.0,1000.0,0.01235957,1.7560211e-05,0.00047400642,0.00026574205
0.8971213,10.64438,0.06,0.6,1.0,1000.0,0.014008374,1.7536482e-05,0.00023668314,0.00026572557
0.9394033,18.07161,0.06,0.8,1.0,1000.0,0.014708811,1.75464e-05,0.000139713743,0.00026567464
0.9603532,27.6209,0.06,1.0,1.0,1000.0,0.015050249,1.7572357e-05,9.1352307e-05,0.00026533793
0.9721299,39.29227,0.06,1.2,1.0,1000.0,0.01530837,1.7518086e-05,6.3574775e-05,0.00026517345
0.9793715,53.08569,0.06,1.4,1.0,1000.0,0.01532941,1.7539414e-05,4.6796915e-05,0.00026503833
0.9841296,69.00119,0.06,1.6,1.0,1000.0,0.015473768,1.7493328e-05,3.5907277e-05,0.00026529133
0.9874185,87.03875,0.06,1.8,1.0,1000.0,0.015522525,1.7504245e-05,2.8159271e-05,0.00026422151
0.9897846,107.1984,0.06,2.0,1.0,1000.0,0.015561861,1.7394564e-05,2.3032603e-05,0.0002639051
0.9915425,129.4801,0.06,2.2,1.0,1000.0,0.015646575,1.7467067e-05,1.8989071e-05,0.00026254658
0.9928837,153.8838,0.06,2.4,1.0,1000.0,0.015640562,1.727868e-05,1.5755093e-05,0.00026176096
0.99393,180.4096,0.06,2.6,1.0,1000.0,0.015648649,1.7220041e-05,1.3315787e-05,0.00026022999
0.9947618,209.0575,0.06,2.8,1.0,1000.0,0.015648156,1.7044891e-05,1.1344355e-05,0.00025867115
0.9954339,239.8275,0.06,3.0,1.0,1000.0,0.015537691,1.6922317e-05,9.6951898e-06,0.0002569321
0.001776469,1.493177,0.07,0.01,1.0,1000.0,3.7753952e-05,3.2520825e-05,0.0031558209,0.0004918293
